Repository,Description
leiurayer/downkyi,downkyi8khdr
BluePointLilac/ContextMenuManager,windows
microsoft/reverse-proxy,toolkit developing highperformance http reverse proxy applications
Kyome22/RunCat_for_windows,cute running cat animation windows taskbar
dotnet/tye,tye tool makes developing testing deploying microservices distributed applications easier project tye includes local orchestrator make developing microservices easier ability deploy microservices kubernetes minimal configuration
VeriorPies/ParrelSync,unity3d test multiplayer without building
dremin/RetroBar,classic windows ninetyfive ninetyeight two thousand xp vista taskbar modern versions windows
microsoft/onefuzz,selfhosted fuzzingasaservice platform
1y0n/AV_Evasion_Tool,
Unity-Technologies/Graphics,unity graphics including scriptable render pipeline
FreyaHolmer/Mathfs,expanded math functionality unity
MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure,az204 developing solutions microsoft azure
SnaffCon/Snaffler,tool pentesters help find delicious candy l0ss sh3r4 twitter mikeloss sh3r4hax
n00mkrad/cupscale,image upscaling gui based esrgan
microsoft/CsWin32,source generator add userdefined set win32 pinvoke methods supporting types csharp project
Cysharp/ZString,zero allocation stringbuilder net unity
RawAccelOfficial/rawaccel,kernel mode mouse accel
openbullet/OpenBullet2,openbullet reinvented
atmosgames/SuperSimple2DKit,simple kit meant help jump start creation 2d unity game
CCob/SweetPotato,local service system privilege escalation windows seven windows ten server two thousand nineteen
microsoft/CodeXGLUE,codexglue
dotnet-architecture/eShopOnDapr,sample net distributed application based eshoponcontainers powered dapr
SteamAutoCracks/Steam-auto-crack,steam game automatic cracker
Richasy/BiliBili-UWP,bilibiliuwp
digital-standard/ThreeDPoseUnityBarracuda,unity sample 3d pose estimation using barracuda
Almantask/CSharp-From-Zero-To-Hero,csharp boot camp
xiaoyaocz/biliuwp-lite,uwp lite
Cysharp/ZLogger,zero allocation textstructured logger net stringinterpolation source generator built top microsoftextensionslogging
Unity-Technologies/uGUI,source code unity ui system
SebLague/Solar-System,simple solar system experiment
RythmStick/AMSITrigger,hunt malicious strings
CCob/SharpBlock,method bypassing edrs active projection dlls preventing entry point exection
Maassoft/ColorControl,easily change nvidia display settings andor control lg tvs
OfficeDev/Microsoft-Teams-Samples,welcome microsoft teams samples repository find taskfocused samples csharp javascript typescript help get started microsoft teams app
davidfowl/Todos,various todo list backend api implementations
0xthirteen/SharpRDP,remote desktop protocol net console application authenticated command execution
dotnet/crank,benchmarking infrastructure applications
b4rtik/SharpKatz,porting mimikatz sekurlsalogonpasswords sekurlsaekeys lsadumpdcsync commands
EngTW/English-for-Programmers,
rogerfar/rdt-client,realdebrid client proxy
Apr4h/CobaltStrikeScan,scan files process memory cobaltstrike beacons parse configuration
Unity-Technologies/ProjectAuditor,project auditor experimental static analysis tool unity projects
Flangvik/BetterSafetyKatz,fork safetykatz dynamically fetches latest precompiled release mimikatz directly gentilkiwi github repo runtime patches signatures uses sharpsploit dinvoke peload memory
samhogan/Minecraft-Unity3D,basic minecraft clone made unity twentyfour hours
SteveSandersonMS/CarChecker,sample blazor webassembly application includes authentication inbrowser data storage offline support localization responsive layouts video walkthrough see link
Flangvik/NetLoader,loads csharp binary mem patching amsi etw
SebLague/Portals,portals unity
gus33000/UUPMediaCreator,utility create windows media files iso wim vhd unified update platform files
zmjack/PortProxyGUI,manager netsh interface portproxy evaluate tcpip port redirect windows
Unity-Technologies/com.unity.demoteam.hair,integrated solution authoring importing simulating rendering strandbased hair unity
Flangvik/SharpDllProxy,retrieves exported functions legitimate dll generates proxy dll source codetemplate dll proxy loading sideloading
EasyAbp/AbpHelper.GUI,providing code generation features help develop applications modules abp framework
microsoft/infersharp,infer interprocedural scalable static code analyzer csharp via capabilities facebooks infer tool detects null dereferences resource leaks threadsafety violations also performs taint flow tracking detect critical security vulnerabilities like sql injections
dotnet/csharpstandard,working space ecmatc49tg2 csharp standard committee
FuzzySecurity/StandIn,standin small net3545 ad postexploitation toolkit
uknowsec/SweetPotato,modifying sweetpotato support load shellcode webshell
TheWover/DInvoke,dynamically invoke arbitrary unmanaged code managed code without pinvoke
Coldairarrow/EFCore.Sharding,database sharding efcore
sblom/RegExtract,clean simple idiomatic csharp regexbased line parser emits strongly typed results
Primer-Learning/PrimerToolsUnity,tool used producing primer youtube videos
fuluteam/fulusso,reactaspnet core
PwnDexter/SharpEDRChecker,checks running processes process metadata dlls loaded current process dlls metadata common install directories installed services service binaries metadata installed drivers drivers metadata presence known defensive products avs edrs logging tools
gasgiant/FFT-Ocean,fft ocean unity
fifty-six/Scarab,installer hollow knight mods written avalonia
csharpfritz/csharp_with_csharpfritz,show notes slides samples csharp csharpfritz show
0xthirteen/MoveKit,cobalt strike kit lateral movement
gmhevinci/MotionFramework,motionframework unity3d game framework
MichalStrehovsky/SeeSharpSnake,selfcontained csharp game eight kb
PxGame/XMLib.AM,xmlib
ipud2/Unity-Basic-Shader,unity basic shader
G0ldenGunSec/SharpSecDump,net port remote sam lsa secrets dumping functionality impackets secretsdumppy
yangzhongke/Zack.EFCore.Batch,deleting updating multiple records linq query sql statement without loading entities
gasgiant/Aircraft-Physics,fixed wing aircraft physics unity
Kink3d/kMirrors,planar reflections unitys universal render pipeline
WolfgangOfner/MicroserviceDemo,demo two asp net six microservices using rabbitmq docker
bleroy/lunr-core,port lunrjs net core
SDchao/AutoVsCEnv_WPF,simple tool configure ccpp vscode automatically
ankenyr/jellyfin-youtube-metadata-plugin,youtube metadata plugin jellyfin
lyuma/Av3Emulator,emulator vrchats avatars thirty system built unity playablegraph api
Hzllaga/ShellcodeLoader,shellcodersaexe
michaelweber/Macrome,excel macro document readerwriter red teamers analysts
cnblogs/fluss,fluss blog engine powered net
roubachof/Sharpnado.MaterialFrame,modern maui xf frame component supporting blur acrylic dark mode implemented realtimeblurview android custom blurview uivisualeffectview ios
Unity-Technologies/arfoundation-demos,ar foundation demo projects
DaniDevy/FPS_Movement_Rigidbody,physics based movement system
Goobwabber/MultiplayerExtensions,beat saber mod expands multiplayer functionality
