Repository,Description
leiurayer/downkyi,哔哩下载姬downkyi，哔哩哔哩网站视频下载工具，支持批量下载，支持8K、HDR、杜比视界，提供工具箱（音视频提取、去水印等）。
BluePointLilac/ContextMenuManager,🖱️ 纯粹的Windows右键菜单管理程序
microsoft/reverse-proxy,A toolkit for developing high-performance HTTP reverse proxy applications.
Kyome22/RunCat_for_windows,A cute running cat animation on your windows taskbar.
dotnet/tye,"Tye is a tool that makes developing, testing, and deploying microservices and distributed applications easier. Project Tye includes a local orchestrator to make developing microservices easier and the ability to deploy microservices to Kubernetes with minimal configuration."
VeriorPies/ParrelSync,(Unity3D) Test multiplayer without building
dremin/RetroBar,"Classic Windows 95, 98, Me, 2000, XP, Vista taskbar for modern versions of Windows"
microsoft/onefuzz,A self-hosted Fuzzing-As-A-Service platform
1y0n/AV_Evasion_Tool,掩日 - 免杀执行器生成工具
Unity-Technologies/Graphics,Unity Graphics - Including Scriptable Render Pipeline
FreyaHolmer/Mathfs,Expanded Math Functionality for Unity
MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure,AZ-204: Developing solutions for Microsoft Azure
SnaffCon/Snaffler,"a tool for pentesters to help find delicious candy, by @l0ss and @Sh3r4 ( Twitter: @/mikeloss and @/sh3r4_hax )"
n00mkrad/cupscale,Image Upscaling GUI based on ESRGAN
microsoft/CsWin32,A source generator to add a user-defined set of Win32 P/Invoke methods and supporting types to a C# project.
Cysharp/ZString,Zero Allocation StringBuilder for .NET and Unity.
RawAccelOfficial/rawaccel,kernel mode mouse accel
openbullet/OpenBullet2,OpenBullet reinvented
atmosgames/SuperSimple2DKit,A simple kit meant to help jump start the creation of your 2D Unity game!
CCob/SweetPotato,Local Service to SYSTEM privilege escalation from Windows 7 to Windows 10 / Server 2019
microsoft/CodeXGLUE,CodeXGLUE 
dotnet-architecture/eShopOnDapr,"A sample .NET distributed application based on eShopOnContainers, powered by Dapr."
SteamAutoCracks/Steam-auto-crack,Steam Game Automatic Cracker
Richasy/BiliBili-UWP,BiliBili的UWP客户端，当然，是第三方的了
digital-standard/ThreeDPoseUnityBarracuda,Unity sample of 3D pose estimation using Barracuda
Almantask/CSharp-From-Zero-To-Hero,C# boot camp
xiaoyaocz/biliuwp-lite,哔哩哔哩UWP Lite
Cysharp/ZLogger,"Zero Allocation Text/Structured Logger for .NET with StringInterpolation and Source Generator, built on top of a Microsoft.Extensions.Logging."
Unity-Technologies/uGUI,Source code for the Unity UI system.
SebLague/Solar-System,Simple solar system experiment
RythmStick/AMSITrigger,The Hunt for Malicious Strings
CCob/SharpBlock,A method of bypassing EDR's active projection DLL's by preventing entry point exection
Maassoft/ColorControl,Easily change NVIDIA display settings and/or control LG TV's
OfficeDev/Microsoft-Teams-Samples,"Welcome to the Microsoft Teams samples repository. Here you will find task-focused samples in C#, JavaScript and TypeScript to help you get started with the Microsoft Teams App!"
davidfowl/Todos,Various todo list backend API implementations
0xthirteen/SharpRDP,Remote Desktop Protocol .NET Console Application for Authenticated Command Execution
dotnet/crank,Benchmarking infrastructure for applications
b4rtik/SharpKatz,"Porting of mimikatz sekurlsa::logonpasswords,  sekurlsa::ekeys and lsadump::dcsync commands"
EngTW/English-for-Programmers,《程式英文》：用英文提昇程式可讀性
rogerfar/rdt-client,Real-Debrid Client Proxy
Apr4h/CobaltStrikeScan,Scan files or process memory for CobaltStrike beacons and parse their configuration
Unity-Technologies/ProjectAuditor,Project Auditor is an experimental static analysis tool for Unity Projects.
Flangvik/BetterSafetyKatz,"Fork of SafetyKatz that dynamically fetches the latest pre-compiled release of Mimikatz directly from gentilkiwi GitHub repo, runtime patches signatures and uses SharpSploit DInvoke to PE-Load into memory."
samhogan/Minecraft-Unity3D,A basic minecraft clone made with unity in 24 hours
SteveSandersonMS/CarChecker,"A sample Blazor WebAssembly application that includes authentication, in-browser data storage, offline support, localization, responsive layouts, and more. For a video walkthrough, see this link:"
Flangvik/NetLoader,"Loads any C# binary in mem, patching AMSI + ETW. "
SebLague/Portals,Portals in Unity
gus33000/UUPMediaCreator,"An utility to create Windows Media files (.ISO, .WIM, .VHD) from Unified Update Platform files"
zmjack/PortProxyGUI,A manager of netsh interface portproxy which is to evaluate TCP/IP port redirect on windows.
Unity-Technologies/com.unity.demoteam.hair,An integrated solution for authoring / importing / simulating / rendering strand-based hair in Unity.
Flangvik/SharpDllProxy,Retrieves exported functions from a legitimate DLL and generates a proxy DLL source code/template for DLL proxy loading or sideloading
EasyAbp/AbpHelper.GUI,Providing code generation and more features to help you develop applications and modules with the ABP framework.
microsoft/infersharp,"Infer# is an interprocedural and scalable static code analyzer for C#. Via the capabilities of Facebook's Infer, this tool detects null dereferences, resource leaks, and thread-safety violations. It also performs taint flow tracking to detect critical security vulnerabilities like SQL injections."
dotnet/csharpstandard,"Working space for ECMA-TC49-TG2, the C# standard committee."
FuzzySecurity/StandIn,StandIn is a small .NET35/45 AD post-exploitation toolkit
uknowsec/SweetPotato,Modifying SweetPotato to support load shellcode and webshell
TheWover/DInvoke,Dynamically invoke arbitrary unmanaged code from managed code without PInvoke.
Coldairarrow/EFCore.Sharding,Database Sharding For EFCore
sblom/RegExtract,Clean & simple idiomatic C# RegEx-based line parser that emits strongly typed results.
Primer-Learning/PrimerToolsUnity,Tool used for producing Primer YouTube videos
fuluteam/fulusso,基于react+asp.net core开发的单点登录系统
PwnDexter/SharpEDRChecker,"Checks running processes, process metadata, Dlls loaded into your current process and the each DLLs metadata, common install directories, installed services and each service binaries metadata, installed drivers and each drivers metadata, all for the presence of known defensive products such as AV's, EDR's and logging tools."
gasgiant/FFT-Ocean,FFT ocean for Unity
fifty-six/Scarab,An installer for Hollow Knight mods written in Avalonia.
csharpfritz/csharp_with_csharpfritz,"Show notes, slides, and samples from the CSharp with CSharpFritz show"
0xthirteen/MoveKit,Cobalt Strike kit for Lateral Movement
gmhevinci/MotionFramework,MotionFramework is unity3d game framework.
MichalStrehovsky/SeeSharpSnake,Self-contained C# game in 8 kB
PxGame/XMLib.AM,XMLib 动作游戏开发套件
ipud2/Unity-Basic-Shader,Unity Basic Shader
G0ldenGunSec/SharpSecDump,.Net port of the remote SAM + LSA Secrets dumping functionality of impacket's secretsdump.py
yangzhongke/Zack.EFCore.Batch, Deleting or Updating multiple records from a LINQ Query in a SQL statement without loading entities
gasgiant/Aircraft-Physics,Fixed wing aircraft physics for Unity
Kink3d/kMirrors,Planar reflections for Unity's Universal Render Pipeline.
WolfgangOfner/MicroserviceDemo,This is a demo with two ASP .NET 6 microservices using RabbitMQ and Docker
bleroy/lunr-core,A port of LUNR.js to .NET Core
SDchao/AutoVsCEnv_WPF,Simple Tool to configure C/C++ in VScode automatically
ankenyr/jellyfin-youtube-metadata-plugin,Youtube Metadata Plugin for Jellyfin
lyuma/Av3Emulator,"Emulator for VRChat's Avatars 3.0 system, built on the Unity PlayableGraph API"
Hzllaga/ShellcodeLoader,将shellcode用rsa加密并动态编译exe，自带几种反沙箱技术。
michaelweber/Macrome,Excel Macro Document Reader/Writer for Red Teamers & Analysts
cnblogs/fluss,"fluss is a blog engine, powered by .NET"
roubachof/Sharpnado.MaterialFrame,"A modern MAUI (and XF) Frame component supporting blur, acrylic, dark mode. Implemented with RealtimeBlurView on Android (custom blurview) and UIVisualEffectView on iOS."
Unity-Technologies/arfoundation-demos,AR Foundation demo projects
DaniDevy/FPS_Movement_Rigidbody,A physics based movement system
Goobwabber/MultiplayerExtensions,A Beat Saber mod that expands multiplayer functionality.
Cysharp/ProcessX,Simplify call an external process with the async streams in C# 8.0.
ChilliCream/graphql-workshop,Getting started with GraphQL on ASP.NET Core and Hot Chocolate - Workshop
ProfessorJTJ/HISuite-Proxy,Modifying HiSuite and manipulating it's connection data to install Roms before they officially get released.
plackyhacker/Shellcode-Encryptor,A simple shell code encryptor/decryptor/executor to bypass anti virus.
bohops/SharpRDPHijack, A proof-of-concept Remote Desktop (RDP) session hijack utility
MythicAgents/Apollo,A .NET Framework 4.0 Windows Agent
0xthirteen/SharpStay,.NET project for installing Persistence
YukiCoco/YukiDrive,Onedrive & SharePoint 文件浏览网页程序
n00mkrad/nmkoder,"Media encoding, muxing, analysis toolkit for Windows"
Collective-Software/ClickPaste,Windows 10 notification area app in C# that can paste clipboard contents as keystrokes to whatever location you click.
google/play-unity-plugins,The Google Play Plugins for Unity provide C# APIs for accessing various Play services
BoyanTata/AP01,A向TA入门课工程文件
ultranijia/EmbyCrack,破解 Emby 高级版验证，并加速中国用户下载插件
Azure/azure-functions-dotnet-worker,Azure Functions out-of-process .NET language worker
Heart-Sky/ListRDPConnections,C# 读取本机对外RDP连接记录和其他主机对该主机的连接记录，从而在内网渗透中获取更多可通内网网段信息以及定位运维管理人员主机
sebastienros/parlot,Fast and lightweight parser creation tools
andyvorld/LGSTrayBattery,A tray app used to track battery levels of wireless Logitech mouse.
SkyChenSky/Sikiro,整合了社区主流开源框架（CAP、SkyAPM、WebAPIClient、Chloe等）的微服务项目示例
AaronRobinsonMSFT/DNNE,Prototype native exports for a .NET Assembly.
anjoy8/Student.Achieve.Manager,🎨学生教学教务管理系统：NetCore 3.1 + Vue + EleUI，（star100+，优化多表联查+录制视频+）
microsoft/SmartKG,This project accepts excel files as input which contains the description of a Knowledge Graph (Vertexes and Edges) and convert it into an in-memory Graph Store. This project implements APIs to search/filter/get nodes and relations from the in-memory Knowledge Graph. This project also provides a dialog management framework and enable a chatbot based on its knowledge graph.
r3nhat/GRAT2,We developed GRAT2 Command & Control (C2) project for learning purpose.
thunderbird-team/ThunderBird_OpenSource,ThunderBird OpenSource
kunzmi/ImageStackAlignator,Implementation of Google's Handheld Multi-Frame Super-Resolution algorithm (from Pixel 3 and Pixel 4 camera)
SingletonSean/wpf-tutorials,Source code for SingletonSean WPF tutorials on YouTube.
pastasfuture/com.hauntedpsx.render-pipelines.psx,A scriptable render pipeline for emulating Playstation-1-style graphics on contemporary hardware.
0xthirteen/SharpMove,.NET Project for performing Authenticated Remote Execution
Flangvik/AMSI.fail,C# Azure Function with an HTTP trigger that generates obfuscated PowerShell snippets that break or disable AMSI for the current process.
CombatExtended-Continued/CombatExtended,Combat Extended mod for RimWorld
TanvirArjel/CleanArchitecture,This repository contains the implementation of domain-driven design and clear architecture in ASP.NET Core.
keijiro/Rcam2,Remote depth camera with iPad Pro with LiDAR sensor
markjprice/cs9dotnet5,"Repository for the Packt Publishing book titled ""C# 9 and .NET 5 - Modern Cross-Platform Development"" by Mark J. Price"
marijnz/NativeQuadtree,A Quadtree Native Collection for Unity DOTS
flipswitchingmonkey/FlexASIO_GUI,Simple configuration GUI for FlexASIO
Unity-Technologies/UIToolkitUnityRoyaleRuntimeDemo,This is a sample project to introduce the use of UI Toolkit in Runtime
Natsukage/PostNamazu,鲶鱼精邮差，最终幻想14 触发器拓展
UndertakerBen/PorEdgeUpd,Portable Edge (Chromium) Updater
whuanle/CZGL.SystemInfo,一个.NET Core监控系统CPU内存等信息的工具
eliemichel/BMeshUnity,A Unity package to make runtime procedural mesh generation more flexible.
martinchrzan/ColorPicker,Windows system-wide color picker
Hzllaga/JsLoader,js免杀shellcode，绕过杀毒添加自启
m-jovanovic/event-reminder,.NET Core Web API for seamless event organization with configurable notification systems.
akash-network/awesome-akash,Awesome List of Akash Deployment Examples
GoSecure/WSuspicious,WSuspicious - A tool to abuse insecure WSUS connections for privilege escalations
zcgonvh/CVE-2020-0688,Exploit and detect tools for CVE-2020-0688
AlanMorel/MapleServer2,MapleStory 2 Emulator
mubix/solarflare,SolarWinds Orion Account Audit / Password Dumping Utility
Cysharp/UnitGenerator,"C# Source Generator to create value-object, inspired by units of measure."
TheAllenChou/unity-ray-marching,Ray marching sandbox
CuriousDrive/BookStores,"BookStores is a Blazor Server app using ASP.NET Core as back-end service and MSSQL for database. It has code samples for Authentication, Authorization, DataGrid, Database operations....and much. Please follow the intrsuctions to set it up on your machine."
jorgejgnz/HPTK,Hand Physics Toolkit
DrFlower/Unity-Obfuscator,Unity代码混淆插件
PowerShell/SecretManagement,PowerShell module to consistent usage of secrets through different extension vaults
efcore/EFCore.CheckConstraints,An Entity Framework Core plugin to automatically add check constraints in various situations
mitchmoser/SharpShares,Multithreaded C# .NET Assembly to enumerate accessible network shares in a domain
hexthedev/OpenAi-Api-Unity,Integration for the OpenAi Api in Unity
PacktPublishing/The-Azure-Cloud-Native-Architecture-Mapbook,"The Azure Cloud Native Architecture Mapbook, published by Packt"
